file,competence,source,target
EN_1_100.head.txt,learner,23.8095238095,23.0769230769
EN_1_102.head.txt,learner,0,35.7142857143
EN_1_106.head.txt,learner,12.5,0
EN_1_114.head.txt,learner,5.8823529412,0
EN_1_116.head.txt,learner,0,15.3846153846
EN_1_120.head.txt,learner,0,21.0526315789
EN_1_122.head.txt,learner,18.75,11.1111111111
EN_1_123.head.txt,learner,5.8823529412,11.7647058824
EN_1_124.head.txt,learner,6.25,26.3157894737
EN_1_126.head.txt,learner,21.4285714286,0
EN_1_127.head.txt,learner,10,9.0909090909
EN_1_128.head.txt,learner,0,0
EN_1_129.head.txt,learner,0,0
EN_1_130.head.txt,learner,0,19.2307692308
EN_1_132.head.txt,learner,17.3913043478,30.4347826087
EN_1_133.head.txt,learner,7.6923076923,17.8571428571
EN_1_134.head.txt,learner,0,11.1111111111
EN_1_136.head.txt,learner,10.3448275862,13.7931034483
EN_1_137.head.txt,learner,4.3859649123,6.8421052632
EN_1_139.head.txt,learner,21.2435233161,25.7352941176
EN_1_143.head.txt,learner,8.3333333333,0
EN_1_144.head.txt,learner,0,12.5
EN_1_145.head.txt,learner,21.0526315789,11.1111111111
EN_1_146.head.txt,learner,6.25,0
EN_1_147.head.txt,learner,16.713091922,16.935483871
EN_1_148.head.txt,learner,8.3333333333,9.0909090909
EN_1_149.head.txt,learner,25,36.3636363636
EN_1_169.head.txt,learner,5,5.8823529412
EN_1_170.head.txt,learner,25,10.3448275862
EN_1_172.head.txt,learner,5.2631578947,0
EN_1_174.head.txt,learner,17.5,23.6842105263
EN_1_175.head.txt,learner,12.9032258065,31.25
EN_1_176.head.txt,learner,10.6382978723,6.1224489796
EN_1_178.head.txt,learner,15.3846153846,16.2790697674
EN_1_179.head.txt,learner,1.6949152542,26.2295081967
EN_1_180.head.txt,learner,13.6363636364,24.6153846154
EN_1_182.head.txt,learner,4.4117647059,25
EN_1_184.head.txt,learner,36,25
EN_1_185.head.txt,learner,7.6923076923,22.7272727273
EN_1_19.head.txt,learner,3.8461538462,17.8571428571
EN_1_193.head.txt,learner,18.75,15
EN_1_194.head.txt,learner,15.7894736842,17.6470588235
EN_1_196.head.txt,learner,5.7142857143,2.7777777778
EN_1_2.head.txt,learner,10.2564102564,10.2564102564
EN_1_200.head.txt,learner,0,7.6923076923
EN_1_203.head.txt,learner,11.5384615385,16
EN_1_204.head.txt,learner,0,10
EN_1_205.head.txt,learner,4.5454545455,13.6363636364
EN_1_206.head.txt,learner,4.347826087,9.5238095238
EN_1_207.head.txt,learner,0,21.4285714286
EN_1_208.head.txt,learner,8.6956521739,19.0476190476
EN_1_209.head.txt,learner,13.0434782609,21.0526315789
EN_1_210.head.txt,learner,4,8.3333333333
EN_1_212.head.txt,learner,16.6666666667,4.1666666667
EN_1_22.head.txt,learner,4.8780487805,13.1578947368
EN_1_228.head.txt,learner,18.75,18.75
EN_1_23.head.txt,learner,17.0212765957,6.25
EN_1_233.head.txt,learner,11.7647058824,18.75
EN_1_235.head.txt,learner,17.6470588235,55
EN_1_237.head.txt,learner,0,22.2222222222
EN_1_24.head.txt,learner,15.625,9.6774193548
EN_1_240.head.txt,learner,6.6666666667,10
EN_1_242.head.txt,learner,5.8823529412,0
EN_1_243.head.txt,learner,13.1428571429,15.0837988827
EN_1_244.head.txt,learner,0,0
EN_1_245.head.txt,learner,26.3157894737,20
EN_1_246.head.txt,learner,6.6666666667,13.3333333333
EN_1_247.head.txt,learner,9.8039215686,19.5652173913
EN_1_248.head.txt,learner,25.9259259259,8
EN_1_25.head.txt,learner,2.3255813953,2.1276595745
EN_1_26.head.txt,learner,20,26.6666666667
EN_1_260.head.txt,learner,10,7.1428571429
EN_1_262.head.txt,learner,0,15
EN_1_263.head.txt,learner,40,45.4545454545
EN_1_264.head.txt,learner,0,10.5263157895
EN_1_265.head.txt,learner,11.5384615385,29.1666666667
EN_1_266.head.txt,learner,0,33.3333333333
EN_1_270.head.txt,learner,5.2631578947,5
EN_1_273.head.txt,learner,1.6393442623,37.037037037
EN_1_274.head.txt,learner,11.7647058824,22.2222222222
EN_1_28.head.txt,learner,0,0
EN_1_283.head.txt,learner,6.8181818182,9.756097561
EN_1_286.head.txt,learner,22.5,25.5813953488
EN_1_288.head.txt,learner,8.5106382979,8.1632653061
EN_1_289.head.txt,learner,13.6363636364,4.5454545455
EN_1_29.head.txt,learner,6.6666666667,13.3333333333
EN_1_290.head.txt,learner,23.3333333333,25
EN_1_292.head.txt,learner,0,18.75
EN_1_293.head.txt,learner,10,4.5454545455
EN_1_294.head.txt,learner,5.1282051282,5
EN_1_295.head.txt,learner,3.9215686275,8.1632653061
EN_1_296.head.txt,learner,15.3846153846,20
EN_1_297.head.txt,learner,17.6470588235,5
EN_1_298.head.txt,learner,7.3170731707,16.2162162162
EN_1_299.head.txt,learner,11.7647058824,12.5
EN_1_3.head.txt,learner,0,9.756097561
EN_1_300.head.txt,learner,0,15.3846153846
EN_1_302.head.txt,learner,11.1111111111,0
EN_1_303.head.txt,learner,13.6363636364,13.6363636364
EN_1_304.head.txt,learner,14.2857142857,19.0476190476
EN_1_305.head.txt,learner,14.8148148148,14.8148148148
EN_1_306.head.txt,learner,23.0769230769,20
EN_1_307.head.txt,learner,0,15.7894736842
EN_1_309.head.txt,learner,25,26.6666666667
EN_1_312.head.txt,learner,9.8039215686,5.5555555556
EN_1_313.head.txt,learner,15.7894736842,19.0476190476
EN_1_314.head.txt,learner,8.8235294118,14.7058823529
EN_1_315.head.txt,learner,2.6315789474,17.0731707317
EN_1_316.head.txt,learner,0,0
EN_1_317.head.txt,learner,4.7619047619,0
EN_1_36.head.txt,learner,0,0
EN_1_4.head.txt,learner,4.7619047619,13.6363636364
EN_1_40.head.txt,learner,15.7894736842,22.2222222222
EN_1_42.head.txt,learner,0,7.6923076923
EN_1_43.head.txt,learner,0,17.6470588235
EN_1_44.head.txt,learner,22.7272727273,38.0952380952
EN_1_45.head.txt,learner,17.3913043478,36.8421052632
EN_1_46.head.txt,learner,5.8823529412,5.9701492537
EN_1_47.head.txt,learner,7.6923076923,15.3846153846
EN_1_48.head.txt,learner,0,0
EN_1_49.head.txt,learner,14.0625,14.9253731343
EN_1_5.head.txt,learner,10.4166666667,15.2173913043
EN_1_50.head.txt,learner,15.1515151515,15.625
EN_1_52.head.txt,learner,10.5263157895,10.5263157895
EN_1_53.head.txt,learner,14.2857142857,35.7142857143
EN_1_54.head.txt,learner,35,35
EN_1_55.head.txt,learner,37.5,25
EN_1_56.head.txt,learner,16.6666666667,27.7777777778
EN_1_57.head.txt,learner,19.0476190476,31.8181818182
EN_1_58.head.txt,learner,4.6511627907,6.976744186
EN_1_59.head.txt,learner,0,0
EN_1_6.head.txt,learner,8.8235294118,34.4827586207
EN_1_60.head.txt,learner,30,40
EN_1_65.head.txt,learner,0,0
EN_1_66.head.txt,learner,9.4926350245,14.7208121827
EN_1_67.head.txt,learner,10.8391608392,15.4513888889
EN_1_68.head.txt,learner,9.0909090909,8.0808080808
EN_1_69.head.txt,learner,8.547008547,12.3966942149
EN_1_7.head.txt,learner,0,0
EN_1_75.head.txt,learner,0,0
EN_1_76.head.txt,learner,5,13.6363636364
EN_1_79.head.txt,learner,15.625,14.7058823529
EN_1_8.head.txt,learner,13.3333333333,21.0526315789
EN_1_80.head.txt,learner,13.3333333333,12.5
EN_1_82.head.txt,learner,8.3333333333,23.0769230769
EN_1_83.head.txt,learner,0,4.347826087
EN_1_84.head.txt,learner,10.8695652174,25
EN_1_85.head.txt,learner,11.7647058824,16.6666666667
EN_1_86.head.txt,learner,8.3333333333,18.1818181818
EN_1_88.head.txt,learner,35.3773584906,31.9248826291
EN_1_89.head.txt,learner,22.4719101124,24.7191011236
EN_1_90.head.txt,learner,38.7096774194,41.935483871
EN_1_92.head.txt,learner,6.7226890756,6.7796610169
EN_1_96.head.txt,learner,4,24
EN_1_97.head.txt,learner,4.1666666667,3.8461538462
EN_1_98.head.txt,learner,4.7619047619,14.2857142857
EN_1_99.head.txt,learner,5.8655221745,9.5238095238
EN_2_7.head.txt,learner,16.6666666667,23.0769230769
EN_3_10.head.txt,learner,0,0
EN_3_12.head.txt,learner,0,0
EN_3_13.head.txt,learner,12.5,12.5
EN_3_14.head.txt,learner,0,16.6666666667
EN_3_15.head.txt,learner,17.0886075949,16.6666666667
EN_3_2.head.txt,learner,0,0
EN_3_4.head.txt,learner,4,4.1666666667
EN_3_5.head.txt,learner,15,15
EN_3_6.head.txt,learner,3.8461538462,0
EN_3_7.head.txt,learner,11.1111111111,10.5263157895
EN_3_8.head.txt,learner,8.3333333333,9.0909090909
EN_3_9.head.txt,learner,9.0909090909,0
EN_4_16.head.txt,learner,0,5
EN_4_17.head.txt,learner,9.5238095238,13.6363636364
EN_4_18.head.txt,learner,0,28.5714285714
EN_4_19.head.txt,learner,7.6923076923,21.4285714286
EN_4_25.head.txt,learner,16,21.7391304348
EN_4_26.head.txt,learner,10.7142857143,10.3448275862
EN_4_32.head.txt,learner,11.0458284371,11.2709832134
EN_4_33.head.txt,learner,11.1111111111,11.1111111111
EN_4_34.head.txt,learner,18.8679245283,33.3333333333
EN_4_35.head.txt,learner,17.6470588235,24.2424242424
EN_4_36.head.txt,learner,12.8205128205,15.3846153846
EN_4_37.head.txt,learner,6.2992125984,12.4031007752
EN_4_38.head.txt,learner,18.3333333333,20.3389830508
EN_4_39.head.txt,learner,12,15.6862745098
EN_4_40.head.txt,learner,11.3895216401,10.502283105
EN_4_42.head.txt,learner,9.0909090909,9.375
EN_4_43.head.txt,learner,17.6470588235,25
EN_4_44.head.txt,learner,11.1111111111,7.4074074074
EN_4_45.head.txt,learner,9.8039215686,9.2592592593
EN_4_47.head.txt,learner,14.9253731343,8.8235294118
EN_4_5.head.txt,learner,15.7894736842,31.5789473684
EN_4_7.head.txt,learner,22.2222222222,20
EN_5_4.head.txt,learner,20.8333333333,19.2307692308
EN_5_5.head.txt,learner,0,9.0909090909
EN_5_6.head.txt,learner,11.1111111111,0
EN_5_9.head.txt,learner,6.6666666667,16.6666666667
EN_6_10.head.txt,learner,10.1123595506,17.3469387755
EN_6_2.head.txt,learner,7.1428571429,0
EN_6_22.head.txt,learner,0,0
EN_6_3.head.txt,learner,21.7391304348,9.5238095238
en_03.txt,professional,16.3265306122,9.0909090909
en_086.txt,professional,13.2075471698,20.5128205128
en_18.txt,professional,12.5,5.6818181818
en_21.txt,professional,9.8360655738,10.4166666667
en_091.txt,professional,23.5294117647,5.3846153846
en_051.txt,professional,20,2.8571428571
en_72.txt,professional,2.3529411765,10
en_0101.txt,professional,13.9534883721,10
en_26.txt,professional,9.0909090909,13.1868131868
en_017.txt,professional,2.2727272727,17.3913043478
en_098.txt,professional,5.3333333333,13.0434782609
en_82.txt,professional,17.2413793103,24.0506329114
en_75.txt,professional,17.2413793103,16.1290322581
en_092.txt,professional,4.1666666667,22.641509434
en_054.txt,professional,21.4007782101,15.2173913043
en_041.txt,professional,13.8888888889,0
en_59.txt,professional,5.7142857143,18.5185185185
en_85.txt,professional,5.8823529412,26.0563380282
en_069.txt,professional,5.5555555556,16.3043478261
en_072.txt,professional,1.1627906977,10.9090909091
en_035.txt,professional,7.8947368421,17.7215189873
en_075.txt,professional,4.5454545455,16.2162162162
en_35.txt,professional,6.3909774436,8.3333333333
en_43.txt,professional,12.2448979592,17.7777777778
en_88.txt,professional,11.2903225806,20
en_76.txt,professional,11.1111111111,23.5294117647
en_44.txt,professional,13.768115942,16.6666666667
en_67.txt,professional,4.347826087,33.3333333333
en_097.txt,professional,26.0869565217,19.1176470588
en_56.txt,professional,8.6206896552,37.5
en_060.txt,professional,10.2564102564,6.0240963855
en_066.txt,professional,1.1627906977,5.8823529412
en_081.txt,professional,17.1428571429,16
en_047.txt,professional,9.4736842105,10.5263157895
en_6.txt,professional,4.5454545455,43.3333333333
en_094.txt,professional,23.0769230769,10.2310231023
en_53.txt,professional,8.1632653061,13.612565445
en_029.txt,professional,4.6875,14.2857142857
en_018.txt,professional,5.2631578947,13.0434782609
en_034.txt,professional,12.9032258065,12.030075188
en_63.txt,professional,4.0816326531,7.1428571429
en_010.txt,professional,15.1515151515,10.6382978723
en_33.txt,professional,2.3255813953,17.9856115108
en_030.txt,professional,6.1728395062,7.8947368421
en_48.txt,professional,4.7619047619,22.9508196721
en_19.txt,professional,23.0769230769,2.7777777778
en_048.txt,professional,19.512195122,25
en_30.txt,professional,4.6875,2.3529411765
en_52.txt,professional,11.7647058824,15.5555555556
en_090.txt,professional,2.8169014085,16.6666666667
en_14.txt,professional,0,13.5135135135
en_096.txt,professional,21.7391304348,22.2222222222
en_32.txt,professional,16.5644171779,17.8571428571
en_055.txt,professional,23.0769230769,16.8269230769
en_13.txt,professional,2.5316455696,8.6956521739
en_037.txt,professional,22.5352112676,14.3369175627
en_067.txt,professional,12.1212121212,5.2631578947
en_087.txt,professional,7.5949367089,10
en_83.txt,professional,14.5833333333,11.1111111111
en_37.txt,professional,3.2608695652,17.8571428571
en_40.txt,professional,8.1081081081,6
en_080.txt,professional,9.2105263158,7.6923076923
en_024.txt,professional,12,23.8805970149
en_014.txt,professional,7.6923076923,23.5294117647
en_056.txt,professional,13.8888888889,34.8314606742
en_013.txt,professional,21.0526315789,17.4603174603
en_95.txt,professional,8.1632653061,12.1212121212
en_65.txt,professional,4.5454545455,10
en_070.txt,professional,16.3265306122,11.9047619048
en_10.txt,professional,10.2941176471,4.4776119403
en_027.txt,professional,2.4390243902,20.7317073171
en_095.txt,professional,9.6774193548,23.5294117647
en_71.txt,professional,13.1578947368,11.1111111111
en_46.txt,professional,3.8461538462,20
en_05.txt,professional,20.9302325581,16.6666666667
en_62.txt,professional,8.1632653061,16.2790697674
en_36.txt,professional,6.8273092369,24.3902439024
en_031.txt,professional,3.4482758621,16
en_28.txt,professional,8.362369338,17.2131147541
en_74.txt,professional,19.2307692308,12.1951219512
en_083.txt,professional,2.2988505747,22.962962963
en_57.txt,professional,0,10.8108108108
en_085.txt,professional,20.5882352941,12.1951219512
en_25.txt,professional,23.8095238095,6.25
en_51.txt,professional,30.3571428571,7.5757575758
en_0102.txt,professional,5.5555555556,18.5185185185
en_058.txt,professional,25.5813953488,13.0718954248
en_061.txt,professional,26.0869565217,30.4347826087
en_052.txt,professional,14.2857142857,15.6862745098
en_074.txt,professional,19.6721311475,14.5833333333
en_79.txt,professional,12.6315789474,10.6060606061
en_7.txt,professional,10.7142857143,8.9552238806
en_019.txt,professional,21.1382113821,5.5555555556
en_045.txt,professional,3.3333333333,13.5802469136
en_032.txt,professional,21.4285714286,10.5263157895
en_050.txt,professional,10.6060606061,27.6595744681
en_86.txt,professional,9.756097561,12.3711340206
en_09.txt,professional,10.2564102564,32.4324324324
en_5.txt,professional,17.2839506173,19.2307692308
en_057.txt,professional,19.6261682243,6.3492063492
en_68.txt,professional,10.5263157895,16.2679425837
en_23.txt,professional,18.1818181818,19.4174757282
en_70.txt,professional,21.6216216216,5.6338028169
en_021.txt,professional,13.4831460674,14
en_54.txt,professional,4.7619047619,15.4411764706
en_073.txt,professional,3.6585365854,22.9166666667
en_026.txt,professional,9.375,21.0526315789
en_78.txt,professional,4.347826087,17.6470588235
en_42.txt,professional,5.2631578947,22.9166666667
en_87.txt,professional,2.7777777778,25
en_81.txt,professional,7.1428571429,7.8431372549
en_98.txt,professional,1.1904761905,11.6279069767
en_29.txt,professional,17.6470588235,7.1428571429
en_80.txt,professional,8.6956521739,30.303030303
en_66.txt,professional,20,25
en_079.txt,professional,8,14.1509433962
en_73.txt,professional,14.8148148148,21.2389380531
en_025.txt,professional,5.4054054054,11.3636363636
en_039.txt,professional,9.0909090909,28.2051282051
en_043.txt,professional,15.5555555556,6.5789473684
en_2.txt,professional,12.676056338,8.6956521739
en_044.txt,professional,18.1818181818,8.1081081081
en_016.txt,professional,17.5925925926,8.0459770115
en_17.txt,professional,16.4102564103,26.9230769231
en_60.txt,professional,4.5454545455,10.4166666667
en_08.txt,professional,2.2727272727,12.8440366972
en_47.txt,professional,18.8679245283,22.3684210526
en_089.txt,professional,5,20.6766917293
en_028.txt,professional,2.5,25
en_97.txt,professional,10,14.2857142857
en_082.txt,professional,2.6315789474,10
en_042.txt,professional,4.7619047619,14.2857142857
en_96.txt,professional,1.6393442623,31.4285714286
en_4.txt,professional,7.6923076923,16.6666666667
en_34.txt,professional,7.8125,14.7540983607
en_77.txt,professional,14.8148148148,8.1632653061
en_90.txt,professional,37.1428571429,18.3908045977
en_012.txt,professional,18.2352941176,14.5833333333
en_093.txt,professional,18.6046511628,20.618556701
en_033.txt,professional,22.7272727273,6.6666666667
en_11.txt,professional,9.4117647059,31.3432835821
en_022.txt,professional,6.5743944637,13.3333333333
en_063.txt,professional,17.0731707317,22.5806451613
en_078.txt,professional,15.0943396226,17.7215189873
en_077.txt,professional,21.5384615385,6.8181818182
en_20.txt,professional,16.6666666667,4.5454545455
en_58.txt,professional,4.5454545455,6.25
en_22.txt,professional,23.8095238095,25
en_02.txt,professional,5.1282051282,8.5106382979
en_69.txt,professional,7.5949367089,11.5384615385
en_04.txt,professional,15.1515151515,9.8591549296
en_55.txt,professional,11.1111111111,4.4776119403
en_16.txt,professional,10.843373494,14.5299145299
en_015.txt,professional,12.5,13.1868131868
en_84.txt,professional,2.7777777778,14.5454545455
en_8.txt,professional,11.4285714286,15.0943396226
en_084.txt,professional,4.7619047619,16.2790697674
en_01.txt,professional,10.8108108108,8.1967213115
en_9.txt,professional,8,6.7796610169
en_088.txt,professional,9.0909090909,31.4285714286
en_099.txt,professional,33.3333333333,45.4545454545
en_071.txt,professional,18.3673469388,5.3571428571
en_64.txt,professional,11.4285714286,18.9189189189
en_92.txt,professional,9.7435897436,16.6666666667
en_99.txt,professional,16.1764705882,19.4029850746
en_053.txt,professional,23.8461538462,31.8181818182
en_068.txt,professional,5.9701492537,13.5802469136
en_1.txt,professional,11.9047619048,18.6046511628
en_049.txt,professional,8.5106382979,5.1724137931
en_15.txt,professional,7.8947368421,19.6078431373
en_023.txt,professional,9.6446700508,13.8888888889
en_065.txt,professional,13.1578947368,17.9487179487
en_3.txt,professional,10.4166666667,15.2941176471
en_059.txt,professional,14,9.5238095238
en_062.txt,professional,4.7619047619,28
en_100.txt,professional,2.7272727273,20
en_49.txt,professional,4.8780487805,12.7272727273
en_036.txt,professional,2.7777777778,12.0689655172
en_0100.txt,professional,4.9180327869,9.0909090909
en_27.txt,professional,3.8461538462,16.3179916318
en_38.txt,professional,19.2307692308,5.3892215569
en_41.txt,professional,17.2043010753,9.6774193548
en_064.txt,professional,22.7272727273,6.5217391304
en_61.txt,professional,12.8205128205,8.6956521739
en_50.txt,professional,3.7037037037,23.6842105263
en_31.txt,professional,7.3170731707,27.027027027
en_94.txt,professional,8.1081081081,10.6382978723
en_046.txt,professional,18.75,5.4945054945
en_040.txt,professional,9.375,9.0909090909
en_020.txt,professional,12.8712871287,18.1818181818
en_91.txt,professional,10.8695652174,24.3243243243
en_93.txt,professional,16.3636363636,12.5
en_038.txt,professional,9.6774193548,15.2173913043
en_12.txt,professional,4.5454545455,22.2222222222
en_39.txt,professional,18.6046511628,24.6153846154
en_89.txt,professional,23.6842105263,28.125
en_011.txt,professional,10,10.5263157895
en_45.txt,professional,1.8867924528,20.9302325581
en_076.txt,professional,9.6774193548,13.3333333333
en_24.txt,professional,14.2857142857,22.2222222222
